ItemNum,Condition,Subject,RT,Assoc,Plaus,Accuracy
26,script-related,24,431,5.25,2.666666667,0
26,script-related,12,580,5.25,2.666666667,1
26,script-unrelated,31,260,1.2,1.090909091,1
26,script-unrelated,28,242,1.2,1.090909091,1
26,script-unrelated,25,226,1.2,1.090909091,1
26,script-unrelated,22,415,1.2,1.090909091,1
26,script-unrelated,4,534,1.2,1.090909091,1
26,script-unrelated,16,250,1.2,1.090909091,1
26,script-unrelated,13,836,1.2,1.090909091,1
26,script-unrelated,19,327,1.2,1.090909091,1
26,script-unrelated,10,557,1.2,1.090909091,1
26,script-unrelated,1,319,1.2,1.090909091,1
26,script-unrelated,7,491,1.2,1.090909091,1
27,control,6,192,6.3,6.454545455,1
27,control,18,273,6.3,6.454545455,1
27,control,24,507,6.3,6.454545455,1
27,control,12,240,6.3,6.454545455,1
27,control,9,166,6.3,6.454545455,1
27,control,15,505,6.3,6.454545455,1
27,control,3,243,6.3,6.454545455,1
27,control,27,321,6.3,6.454545455,1
27,control,30,1041,6.3,6.454545455,1
27,control,21,667,6.3,6.454545455,1
27,script-related,31,238,6.3,1.142857143,1
27,script-related,22,563,6.3,1.142857143,1
27,script-related,4,654,6.3,1.142857143,1
27,script-related,16,629,6.3,1.142857143,0
27,script-related,19,319,6.3,1.142857143,1
27,script-related,13,498,6.3,1.142857143,1
27,script-related,7,720,6.3,1.142857143,0
27,script-related,28,256,6.3,1.142857143,1
27,script-related,25,724,6.3,1.142857143,1
27,script-related,1,860,6.3,1.142857143,1
27,script-unrelated,5,884,1.3,1.333333333,1
27,script-unrelated,2,1046,1.3,1.333333333,1
27,script-unrelated,14,324,1.3,1.333333333,1
27,script-unrelated,8,263,1.3,1.333333333,1
27,script-unrelated,17,870,1.3,1.333333333,1
27,script-unrelated,26,201,1.3,1.333333333,1
27,script-unrelated,11,677,1.3,1.333333333,0
27,script-unrelated,23,559,1.3,1.333333333,1
27,script-unrelated,20,653,1.3,1.333333333,1
27,script-unrelated,29,225,1.3,1.333333333,1
28,control,13,778,6.3,5.916666667,1
28,control,19,353,6.3,5.916666667,1
28,control,7,585,6.3,5.916666667,1
28,control,28,281,6.3,5.916666667,1
28,control,22,496,6.3,5.916666667,0
28,control,31,275,6.3,5.916666667,0
28,control,25,323,6.3,5.916666667,1
28,control,1,568,6.3,5.916666667,1
28,control,16,436,6.3,5.916666667,1
28,control,4,551,6.3,5.916666667,1
28,control,10,418,6.3,5.916666667,0
28,script-related,20,654,6.3,3.454545455,1
28,script-related,8,382,6.3,3.454545455,1
28,script-related,11,314,6.3,3.454545455,0
28,script-related,26,252,6.3,3.454545455,1
